experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: vision
  prompt structure: single

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9443495273590088, max_false: 0.9299753904342651, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9191375374794006, max_false: 0.8695029616355896, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.813523530960083, max_false: 0.8403564691543579, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.971142590045929, max_false: 0.9784532189369202, correct: False
in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9626390337944031, max_false: 0.9416704773902893, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9408825039863586, max_false: 0.9491050839424133, correct: False
in: torch.Size([138, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9585795402526855, max_false: 0.9493920803070068, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9471036791801453, max_false: 0.9558534026145935, correct: False
in: torch.Size([124, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.950977087020874, max_false: 0.9530085921287537, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9662862420082092, max_false: 0.9604491591453552, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9718388915061951, max_false: 0.9576702117919922, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.967987060546875, max_false: 0.9607995748519897, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9339831471443176, max_false: 0.9318631291389465, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9707239866256714, max_false: 0.9678471684455872, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.939345121383667, max_false: 0.9126904606819153, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9700320959091187, max_false: 0.9604689478874207, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8976696133613586, max_false: 0.8549321889877319, correct: True
in: torch.Size([73, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9606754183769226, max_false: 0.958354651927948, correct: True
